session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device,try
155727,2025-05-06T11:37:54Z,male,40,GB,middle eastern,MENA,desktop,2
155728,2025-05-06T11:33:04Z,male,23,PT,white,White,desktop,2
155729,2025-05-06T11:33:45Z,male,22,PL,white,White,desktop,2
155730,2025-05-06T11:30:01Z,male,24,PL,white,White,desktop,2
155731,2025-05-06T11:48:06Z,male,25,ZA,cape coloured,Mixed,desktop,2
155732,2025-05-06T11:41:52Z,male,36,GB,white,White,laptop,2
155733,2025-05-06T11:39:24Z,male,47,ES,latin european,Ambiguous label,desktop,2
155734,2025-05-06T11:35:01Z,male,59,GB,british,White,desktop,2
155735,2025-05-06T11:42:12Z,male,32,HU,white,White,desktop,2
155736,2025-05-06T11:37:39Z,male,45,ZA,white,White,laptop,2
155737,2025-05-06T11:32:13Z,male,31,IT,caucasian,White,laptop,2
155738,2025-05-06T11:37:27Z,male,26,GB,white british,White,desktop,2
155739,2025-05-06T11:32:49Z,male,30,DE,white,White,desktop,2
155740,2025-05-06T11:39:25Z,male,34,GB,black,Black,laptop,2
155741,2025-05-06T11:40:00Z,male,21,KE,african,Black,laptop,2
155742,2025-05-06T11:30:34Z,male,43,GB,white,White,laptop,2
155743,2025-05-06T11:31:28Z,male,49,GB,white british,White,laptop,2
155744,2025-05-06T11:33:07Z,male,24,GB,black,Black,laptop,2
155745,2025-05-06T12:06:25Z,female,40,GB,white,White,laptop,2
155746,2025-05-06T11:33:03Z,male,25,CH,white,White,laptop,2
155747,2025-05-06T11:41:06Z,male,36,ZA,black,Black,desktop,2
155748,2025-05-06T11:40:58Z,female,31,GB,asian,Asian,phone,2
155749,2025-05-06T11:41:25Z,female,36,PT,caucasian,White,desktop,2
155750,2025-05-06T11:43:35Z,male,27,US,black,Black,laptop,2
155751,2025-05-06T11:45:03Z,male,43,IT,white,White,laptop,2
155752,2025-05-06T11:31:32Z,male,25,GB,white,White,laptop,2
155753,2025-05-06T11:35:06Z,male,46,AU,white,White,desktop,2
155754,2025-05-06T11:34:35Z,male,26,NL,white/caucasian,White,laptop,2
155755,2025-05-06T11:32:18Z,female,42,AU,white,White,laptop,2
155756,2025-05-06T11:31:17Z,female,30,GB,white,White,phone,2
155757,2025-05-06T11:53:56Z,male,54,ZA,mixed,Mixed,desktop,2
155758,2025-05-06T11:33:21Z,female,49,GB,white,White,laptop,2
155760,2025-05-06T11:42:35Z,female,32,PL,white,White,laptop,2
155762,2025-05-06T11:43:12Z,female,27,ZA,black,Black,laptop,2
155763,2025-05-06T11:32:21Z,female,22,US,black,Black,desktop,2
155764,2025-05-06T11:34:03Z,male,35,GR,greek,White,desktop,2
155765,2025-05-06T11:35:03Z,male,36,ZA,indian,Asian,desktop,2
155767,2025-05-06T11:40:45Z,male,39,US,white,White,laptop,2
155768,2025-05-06T11:34:06Z,male,27,AU,filipino,Asian,desktop,2
155769,2025-05-06T11:40:01Z,male,29,GB,white,White,phone,2
155770,2025-05-06T11:31:57Z,female,20,GB,asian,Asian,laptop,2
155771,2025-05-06T11:34:11Z,male,35,ZA,black,Black,laptop,2
155772,2025-05-06T11:40:16Z,male,43,GB,black/british,Ambiguous label,laptop,2
155773,2025-05-06T11:34:42Z,male,29,PT,white caucasian,White,phone,2
155774,2025-05-06T11:44:09Z,male,22,ZA,black,Black,desktop,2
155776,2025-05-06T11:50:39Z,male,30,PT,white,White,desktop,2
155777,2025-05-06T11:31:08Z,male,20,GB,white,White,desktop,2
155778,2025-05-06T11:34:34Z,male,21,KE,black,Black,laptop,2
155779,2025-05-06T11:48:11Z,male,42,GB,black,Black,desktop,2
155780,2025-05-06T11:43:40Z,male,28,US,white,White,laptop,2
155781,2025-05-06T11:34:34Z,male,30,ZA,black african,Black,desktop,2
155783,2025-05-06T11:47:52Z,female,32,US,white,White,desktop,2
155784,2025-05-06T11:32:42Z,female,34,ZA,black,Black,phone,2
155785,2025-05-06T11:47:38Z,male,26,GB,white,White,desktop,2
155786,2025-05-06T11:45:47Z,female,27,ZA,african,Black,desktop,2
155787,2025-05-06T11:39:33Z,female,31,ZA,black,Black,laptop,2
155788,2025-05-06T11:41:21Z,male,21,ZA,black african,Black,laptop,2
155789,2025-05-06T11:37:30Z,male,35,GR,white,White,laptop,2
155790,2025-05-06T11:51:10Z,female,21,GB,black,Black,laptop,2
155791,2025-05-06T11:50:03Z,male,28,ES,white,White,laptop,2
155792,2025-05-06T11:32:52Z,male,32,FR,white,White,desktop,2
155793,2025-05-06T11:45:05Z,male,21,ZA,black,Black,laptop,2
155794,2025-05-06T11:38:45Z,male,30,ES,white,White,desktop,2
155795,2025-05-06T11:38:47Z,male,29,GR,greek/white,White,laptop,2
155796,2025-05-06T11:34:32Z,male,34,GB,bangladeshi,Asian,laptop,2
155797,2025-05-06T11:31:42Z,male,25,MX,hispanic,Latine,phone,2
155799,2025-05-06T11:52:27Z,male,30,ZA,black,Black,laptop,2
155800,2025-05-06T11:34:33Z,male,47,ES,caucasian,White,desktop,2
155801,2025-05-06T11:47:32Z,male,47,EE,caucasian,White,laptop,2
155802,2025-05-06T11:41:10Z,male,26,ZA,black,Black,laptop,2
155803,2025-05-06T11:33:53Z,male,29,ZA,african,Black,laptop,2
155804,2025-05-06T11:42:07Z,male,25,HU,white,White,laptop,2
155805,2025-05-06T11:43:08Z,male,21,ZA,black,Black,laptop,2
155807,2025-05-06T11:37:51Z,male,50,GB,white,White,laptop,2
