ethnicity,ethnicity_rec
white,White
whitr,White
blanco,White
weiß,White
white/caucasian,White
white caucasian,White
white/caucasion,White
white / caucasian,White
caucasian/white,White
caucasian (white),White
whithe/caucasian,White
caucasic,White
caucasian,White
caicasoan,White
caucasian canadian,White
caucasian/greek,White
white british caucasian,White
white british,White
british,White
white/british,White
white - british,White
british/white,White
welsh,White
english,White
irish,White
scottish,White
white european,White
white/european,White
"white, southern european",White
"white, eastern european",White
european american,White
eastern european,White
white slavic,White
slavic,White
white/polish,White
polish,White
polish/white,White
"white, german",White
white/greek,White
greek/white,White
greek,White
white/italian,White
white/swedish,White
white/estonian,White
white other - romanian,White
white/spanish,White
spanish,White
spanish/white,White
spanish-white,White
black,Black
black african,Black
black/african,Black
black/africa,Black
african/black,Black
africa/black,Black
black/ african,Black
african black,Black
black-african,Black
african,Black
africa,Black
black south african,Black
african american,Black
afican american,Black
black: african american,Black
black american,Black
black or african american,Black
african american/black,Black
black african american,Black
african/black american,Black
black british,Black
zulu,Black
kenyan,Black
nigeria,Black
colored,Black
coloured,Black
coloured south african,Black
asian,Asian
asia,Asian
south asian,Asian
east asian,Asian
asian/indian,Asian
indian,Asian
bangladeshi,Asian
pakistani,Asian
sri lankan,Asian
chinese,Asian
japanese,Asian
filipino,Asian
philippine,Asian
vietnamese,Asian
sundanese,Asian
indo-aryan,Asian
indo-fijian,Asian
british - indian,Asian
british asian,Asian
british pakistani,Asian
native american,Indigenous / Pacific Islander
native hawaiian,Indigenous / Pacific Islander
samoan,Indigenous / Pacific Islander
arab,MENA
middle eastern,MENA
north african,MENA
latino,Latine
latina,Latine
latinx,Latine
latine,Latine
latin,Latine
hispanic,Latine
hispanic/latino,Latine
latinamerican,Latine
preta,Latine
brazilian,Latine
mixed,Mixed
mixed race,Mixed
mix,Mixed
biracial,Mixed
mixed black caribbean and white,Mixed
cape coloured,Mixed
black/white,Mixed
white / puerto rican,Mixed
white/ latino,Mixed
white & asian,Mixed
coloured / mixed race,Mixed
mauritian,Ambiguous label
"belgium, asian",Ambiguous label
black/british,Ambiguous label
eurasian,Ambiguous label
caribbean,Ambiguous label
carribean,Ambiguous label
british asian american,Ambiguous label
chinese/uk,Ambiguous label
latin european,Ambiguous label
white hispanic,Ambiguous label
race,Ambiguous label
american,Ambiguous label
christian,Ambiguous label
christianity,Ambiguous label
