lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0004,0001,1,1,1,1,1,1,1,1,24,white,White,1,NA,female,female,164,cm,164,58,kg,58,1,2,1,1,1,1,1,1,1,4.554216867469879,3.1595744680851063,3.7294117647058824,4.752808988764045,5.094117647058823,3.7738095238095237,4.3977272727272725,3.7604166666666665
MF0004,0002,1,1,1,1,1,1,1,1,27,white,White,1,NA,male,male,178,cm,178,80,kg,80,1,1,1,1,1,1,1,1,1,4.108433734939759,4.776595744680851,4.6235294117647054,4.382022471910112,5.729411764705882,4.035714285714286,4.215909090909091,4.489583333333333
MF0004,0003,1,1,1,1,1,1,1,1,22,german,White,1,NA,female,female,166,cm,166,51,kg,51,1,1,1,1,1,1,1,1,1,4.048192771084337,3.6914893617021276,3.5058823529411764,4.337078651685394,4.8,3.357142857142857,4.375,3.7708333333333335
MF0004,0004,1,1,1,1,1,1,1,1,23,white,White,1,NA,female,female,161,cm,161,65,kg,65,1,1,1,1,1,1,1,1,1,4.0602409638554215,3.648936170212766,3.364705882352941,4.168539325842697,5.094117647058823,3.357142857142857,4.5227272727272725,3.59375
MF0004,0005,1,1,1,1,1,1,1,1,25,white,White,1,no,male,male,174,cm,174,87,kg,87,1,1,1,1,1,2,1,1,1,4.27710843373494,3.7872340425531914,3.4941176470588236,4.561797752808989,5.6117647058823525,3.5,4.6477272727272725,3.7395833333333335
MF0004,0006,1,1,1,1,1,1,1,1,25,white,White,2,wisdom teeth extraction (swollen afterwards),female,female,162,cm,162,53,kg,53,1,1,1,1,1,1,1,1,1,4.048192771084337,4.191489361702128,3.388235294117647,4.078651685393258,3.847058823529412,3.107142857142857,3.375,3.75
MF0004,0007,1,1,1,1,1,1,1,1,27,white,White,2,"scars (nose, above left eyebrow, below lip)",female,female,170,cm,170,66,kg,66,1,1,1,1,1,1,1,1,1,3.9879518072289155,3.9148936170212765,3.5647058823529414,4.191011235955056,4.976470588235294,3.7023809523809526,4.420454545454546,3.7395833333333335
MF0004,0008,1,1,1,1,1,1,1,1,26,white,White,1,NA,male,male,182,cm,182,82,kg,82,1,1,1,1,1,1,1,1,1,4.156626506024097,4.404255319148936,4.235294117647059,4.067415730337078,5.6235294117647054,4.2976190476190474,4.511363636363637,4.677083333333333
MF0004,0009,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.963855421686747,4.159574468085107,4.070588235294117,4.438202247191011,5.4,3.892857142857143,4.761363636363637,4.208333333333333
MF0004,0010,1,1,1,1,1,1,1,1,27,white,White,1,NA,female,female,171,cm,171,70,kg,70,1,1,1,1,1,1,1,1,1,3.8433734939759034,3.606382978723404,3.023529411764706,3.8764044943820224,4.8,3.2976190476190474,4.795454545454546,3.5104166666666665
